source,name,slug,status,type,description
Chapter 10 (Dictionary),Skyball,skyball,published,definition,"A cross between football, soccer, and dodge ball. The purpose of the sport is to have one Caster. Someone who throws the ball to great lengths to get it in one of two goals. The Catcher is someone who receives the ball and tries to make it into the opposite goal. If the ball is out of bound. Then the opposing team wins. Its rules are like football. Although how it is played is like soccer. If someone is hit by the ball in the process of it going toward a goal. Then they are immediately out which is like dodge ball. An average game can last up to 45minutes to an hour per match. 5 scores win the game. The game can be played in the air or on the ground however, playing it in the air causes it to be considered a real game and is more traditional."
Chapter 10 (Dictionary),Ghost Play,ghost-play,published,definition,A game set in a closed off corridor. The goal is to capture up to 5 ghosts using a Ghost Snatcher. The team with the most ghost wins by the time the buzzer sounds. The losing team then must remain in the corridor up to one night haunted by the ghosts they caught.
Chapter 10 (Dictionary),Dragon Taming,dragon-taming,published,definition,A vicious sport known for the odds of someone getting hurt while playing. The goal is to tame a fierce dragon using various techniques.
Chapter 10 (Dictionary),Dragon Riding,dragon-riding,published,definition,Owning its history to King Arthur of the Roundtable. This sport can be one of the most dangerous sports of them all. The only rule is to win the race against up to 6 other racers.
Chapter 10 (Dictionary),Lotta Spada,lotta-spada,published,definition,An Italian game of sword dueling. Using magically protected armor. Giant blades are used to duel each other. The one left standing is the winner.
Chapter 10 (Dictionary),Spell Dueling,spell-dueling,published,definition,Using magical cards with monsters sealed within them. Often played by teenagers and young adults. This sport has grown into a dangerous yet frilled game of strength. Using energy by the duelist. The duelist would summon a creature from a spell card and battle his or her opponent until all the opponent’s creatures are defeated. The winner then takes the losers remaining energy. Enough to knock the person unconscious.
Chapter 10 (Dictionary),Mind Astra,mind-astra,published,definition,A unique game meant only for mentals. This game allows players to enter a preset course inside of the player’s mind. It can be viewed through Holo Screens using focused magic pinpoints. Using any number of ways to challenge the players. The game can shift easily and often. The only rule is to not die. Using their mental strength as weapons. The player can summon anything and do anything to win. It is recommended because of the possibility of death. That only mature players are allowed. Except for Kendo Lazaron who became the youngest player to ever enter by the hands of a horsemen who wanted him dead.
Chapter 10 (Dictionary),Anakari,anakari,published,definition,Every generation an individual is born with a unique ability or unique way of using their ability that is known as an Anakari. The name Anakari loosely translates as “unique” in ancient Elitsyian.
Chapter 10 (Dictionary),Realm,realm,published,definition,"Unlike a universe which is self-contained in a revolving space. A realm is an endless flow of space that has no beginning nor end but exists within in its own reality separated from another. Some of the top realms, are Heaven, The Underworld, Realm of the Living, Hell, Eternity, Dream Realm, Shadow Realm, and Eden."
Chapter 10 (Dictionary),Dimension,dimension,published,definition,"Is a space consisting of compacted energy. Many dimensions serve as a place of residency for its creator or a storage place. Because its consisting of energy, dimensions can only stay in existence based on the energy flow of its creator."
Chapter 10 (Dictionary),Universe,universe,published,definition,"A self-contained place with planets, stars, and other cosmic bodies. Now, there are an infinite number of Universes making up the multiverse. Universes typically are far from one another, and it could be impossible to travel between them. However, some universes are so close to one another that they can make up their own small multiverse. All universes exist in the Realm of Living."
Chapter 10 (Dictionary),Mage,mage,published,definition,A being capable of controlling and manipulating the energy that flows throughout everything.
Chapter 10 (Dictionary),Witch,witch,published,definition,"Can manipulate magic by calling forth things with a spell or incantation. More powerful witches can use their magic without spells. Sub-races of witches are Voodoo Witches, Illusionist, and Magicians."
Chapter 10 (Dictionary),Djinns,djinns,published,definition,"Often called a Genie in disrespect. These beings are the most powerful mages, they can manipulate reality around them. If ever capture, they can grant any wish."
Chapter 10 (Dictionary),Hunter,hunter,published,definition,"A magicless mage, they are immortal, have enhanced senses, speed, and intelligence. They have sub-races which includes Vampire Slayers, Werewolf Hunters, etc."
Chapter 10 (Dictionary),Fairies,fairies,published,definition,"Also known as: Fair folk

Are magical beings or creatures that controls nature and can change their sizes for various purposes."
Chapter 10 (Dictionary),Sorcerers,sorcerers,published,definition,"Powerful elementals that can control Fire, Water, Wind, Earth, Light, and Darkness. Their sub-races include Elementals which can control one element at a time and the Wizard which has Bezerk magic and must use special objects like wands to control their magic."
Chapter 10 (Dictionary),Druid,druid,published,definition,"A mage that can heal any whom and even bring someone back from the dead. Their sub-races include Oracles, healers, prophets, shamans, and seers."
Chapter 10 (Dictionary),Shadow Fiend,shadow-fiend,published,definition,"Another type of mage that practices dark magic and shadow magic. Their sub-race can include any shadow creature like vampire, werewolf, Boogeyman, shadows, etc."
Chapter 10 (Dictionary),Magic,magic,published,definition,"A source of energy that can be manipulated, control, created, or destroyed by a being known as a mage. Magic comes in various smaller varieties but by default is neutral."
Chapter 10 (Dictionary),Dark Magic,dark-magic,published,definition,"Originally created by Tonik, this form of magic is popular amongst those who need assistance from darker forces than the neutral way of performing magic."
Chapter 10 (Dictionary),Ancestral Magic,ancestral-magic,published,definition,"A powerful form of magic that calls on the historical significance of a mages’ family magic. The longer the mages’ family line, the more powerful the magic."
Chapter 10 (Dictionary),Blood Magic,blood-magic,published,definition,"Created by the first Blood Witch as she followed the words and teachings of Tonik. This form of magic is primarily used by using the users’ blood to enhance their own magic. Because it is performed with blood, it is more precise and stronger than normal magic. But also, it is lethal if used constantly."
Chapter 10 (Dictionary),Ranks of Authority in Tier,ranks-of-authority-in-tier,published,definition,"In Tier, there are eight ranks of power and control to make up its overall system of authority."
Chapter 10 (Dictionary),1st Rank,1st-rank,published,definition,"The most powerful authorities figure in their jurisdiction. i.e., = High Council"
Chapter 10 (Dictionary),2nd Rank,2nd-rank,published,definition,"Typically works for or under the 1st Rank. They are the ones who send out the commands, orders, or jobs of the 1st Rank."
Chapter 10 (Dictionary),3rd Rank,3rd-rank,published,definition,"Usually captains, leaders, etc that work directly beneath or next to the 2nd Rank."
Chapter 10 (Dictionary),4th Rank,4th-rank,published,definition,The everyday authority figure that has no control over anyone but act as a balance between others below them.
Chapter 10 (Dictionary),5th Rank,5th-rank,published,definition,Usually in command of their direct subordinates.
Chapter 10 (Dictionary),6th Rank,6th-rank,published,definition,Workers with enough respect to be respected by the public but not by others above them.
Chapter 10 (Dictionary),7th Rank,7th-rank,published,definition,Ground patrol like policeman and lower-level authorities’ figures.
Chapter 10 (Dictionary),8th Rank,8th-rank,published,definition,No real authority but can act on behalf of a 7th Rank in their absence. This rank usually are blue collar people.
Chapter 10 (Dictionary),Ranks of Superpowered Beings,ranks-of-superpowered-beings,published,definition,
Chapter 10 (Dictionary),Alpha Rank,alpha-rank,published,definition,Basic level of whose powers typically are limited to their bodies and own physical strength.
Chapter 10 (Dictionary),Beta Rank,beta-rank,published,definition,Second level with their powers usually capable of hurting another individual to great degree. Most superpowered beings are at or can easily surpass this level.
Chapter 10 (Dictionary),Gamma Rank,gamma-rank,published,definition,Third level of whose abilities can level an entire London sized city. The Lazaron siblings become this rank during the fifth season of their story.
Chapter 10 (Dictionary),Delta Rank,delta-rank,published,definition,Fourth level of where individuals can control their nearby space to some degree. Kendo Lazaron becomes this rank when possessed by the Akuma.
Chapter 10 (Dictionary),Zeta Rank,zeta-rank,published,definition,Fifth level of whose abilities are worldwide strong. They were worshipped as gods in ancient times.
Chapter 10 (Dictionary),Eta Rank,eta-rank,published,definition,Sixth level where an individual’s powers could possibly destroy a world. This level is the level of most higher-ranking gods and Djins.
Chapter 10 (Dictionary),Theta Rank,theta-rank,published,definition,"Seventh level of power, rivaling that of cosmic beings like angels, demons, Shecknurd, Olerta, Jonun, Angels of Destiny, and the Domi Mages."
Chapter 10 (Dictionary),Iota Rank,iota-rank,published,definition,"Eight level of power, this level is rare and extremely powerful. At this level someone could control galaxies to an extent of possibly destroying or creating them. Only a handful of beings exists that can do that of which includes the Primordial Ones and Belki."
Chapter 10 (Dictionary),Kappa Rank,kappa-rank,published,definition,"Ninth level of power, the Ho’zares are at this level of power, just below that of GOD. Also at this level are the Leviathans, Belckus, and the Akuma."
Chapter 10 (Dictionary),Sigma Rank,sigma-rank,published,definition,"The level of GOD, Chaos, The Neither, and the Misikune Egg. This level is strong enough to create or erase universes at will."
Chapter 10 (Dictionary),Omega Rank,omega-rank,published,definition,"The eleventh level of power, this is the highest known rank of power as told in the Grand Thought. This power level can create and destroy all of existence. Only beings existing at this level are Anka and Elshack."
