source,name,slug,status,location,description
Chapter 12 (Kids Version),Candy Village,candy-village,published,Southern Part Of The World,"Residents: Numerous Candies

Candy Village is home to residents all resembling candy of some sort. These residents each has different purposes and act as a whole whenever the famous Candy Lane Racers Tournament is taking place. The village is very large and sits on its own island. The Candyflop Airport is the largest in the region and attracts millions of tourist each year. It is believe that once gods incorporated Candy Village and left behind its many mysterious wonders."
Chapter 12 (Kids Version),Candyflop Airport,candyflop-airport,published,West Of Candy Village,"Candyflop Airport is the busiest airport in the region. It is second only to Food Town in the entire world. Candyflop Airport sits on a high mountain located west of the Candy Village area. It possesses numerous flights including the most famous and luxurious, the SS Wonka."
Chapter 12 (Kids Version),North Candy Village,north-candy-village,published,North Of Candy Village,"Residents: Proud & Wealthy People

North Candy Village is home to the proud and wealthiest of Candy Village residents. It is located south of the rocky mountains that once was believe to be the home of the gods."
Chapter 12 (Kids Version),South Candy Village,south-candy-village,published,South Of Candy Village,"Residents: Workers Of Candy Village

Home to the numerous workers of Candy Village. This place has giant lollipops decorating its main streets serving as lights. The many festivals of the village is performed here."
Chapter 12 (Kids Version),East Candy Village,east-candy-village,published,East Of Candy Village,"Residents: Various

Home to the various people of Candy Village that prefers quiet and peace as this portion of the village is far away and separated by a long hard honey bridge"
Chapter 12 (Kids Version),Downtown Candy Village,downtown-candy-village,published,Center Of Candy Village,"Residents: None

Located at the center of the village. It is a big beautiful place made up of glass and sugar sweets. The entire place has wifi and holds many of the town’s biggest companies."
Chapter 12 (Kids Version),Chocolate Factory,chocolate-factory,published,Northeast Of Candy Village,"Residents: None

The busiest and most famous place of Candy Village. All the residents of Candy Village are made here. Although this is never openly mentioned. Chocolate Factory holds a great place in it’s residents hearts. It was once believe before the village took it over with the help of Peppermint King. That the factory was once home of the gods."
Chapter 12 (Kids Version),Peppermint Valley,peppermint-valley,published,Northeast Of Candy Village,"Residents: Peppermint King

A deep valley surrounded by a river made up of caramel. It surrounds the Chocolate Factory and is home to the Peppermint King."
Chapter 12 (Kids Version),Dark Licorice Forest,dark-licorice-forest,published,East Of Candy Village,"Residents: Sourpatch King & Numerous Dark Creatures

A dark gloomy forest that is lit up by various bitter tasting candies. It is home to the Sourpatch King and his many servants. It is barred off by giant hard candies and the Sugar Post."
Chapter 12 (Kids Version),Milk Sea,milk-sea,published,Surrounds Candy Village,A massive size place that sits around Candy Village. It separates mostly every known island in the world.
Chapter 12 (Kids Version),Goldenflake Beach,goldenflake-beach,published,East & South Candy Village,A massive beach that sits on the East and South side of Candy Village. It smells like the Goldenflakes cereal and when the milky waves hit it. It sparkles.
Chapter 12 (Kids Version),Sugar Post,sugar-post,published,West Candy Village,"Residents: Candy Hill Highguard

A post that is home to the group of security of Candy Village. It is home to the CANDY HILL HIGHGuard. It is located in front of the Dark Licorice Forest.

The CANDY HILL HIGHGuard is a place where all of the security of Candy Village is based. It is also home to the largest prison in the village."
Chapter 12 (Kids Version),Butterscotch Hill,butterscotch-hill,published,Northeast Of Candy Village,"Residents: Gramcracker Citizens

A steep hill made up of butterscotch candy, at its center is a giant factory known as the Chocolate Factory. It is home to the Gramcracker Citizens and is surrounded by high gates made up of smores."
Chapter 12 (Kids Version),Candycane Lake,candycane-lake,published,South Of Candy Village,An enchanted lake surrounded by giant candy canes and huge floating crystal apples. It’s a popular hangout spot for tourists and residents of Candy Village. It believe that the waters of this lake presents healing and creation properties.
Chapter 12 (Kids Version),Candy Lane Tournament,candy-lane-tournament,published,Numerous,"A mass event which holds over 17 different race courses. Each with different designs and features. After each race, the winner wins a magical medallion and after each tournament the winner takes home a prize award. The courses are located across Candy Village however all are named after the Candy Lane."
Chapter 12 (Kids Version),Candy Kane Forest,candy-kane-forest,published,West Of Candy Village,"A candy enhanced forest made up of candy cane trees, giant gingerbread made mountains, a waterfall made up of juice, and several other fruity scenery."
Chapter 12 (Kids Version),Big Red Estate,big-red-estate,published,North Candy Village,"Residents: The Big Red Family

Home to the Big Red Family. It is still used today after 400 years of existence by the family.

*The estate is large enough to incorporate a race track which is used by the Candy Lane Racers. It can only be unlocked once Big Red wins the other 17 courses. He is the only one who can unlock this race."
Chapter 12 (Kids Version),Candyhill High,candyhill-high,published,Downtown Candy Village,"A popular high school found in Candy Village. It populates almost all of Candy Village children at one point.

*A short race track can be found in the school which covers across the sports fields with the school in the background. A snippet of this course is seen during the first race in the tournament. The full course is unlocked once the students win the Candyville Middle School course."
Chapter 12 (Kids Version),Candyville Middle School,candyville-middle-school,published,Downtown Candy Village,"A popular middle school and one of the main places for Giggly Gumdrop when she isn’t racing.

*The school is home to one hidden race track which directs itself right through the main school classes. It can be unlocked only if the riders win the normal 17 courses."
Chapter 12 (Kids Version),Candydrop College,candydrop-college,published,South Candy Village,"Residents: Candydrop Students (If They Live On Campus)

A distant college with over six main buildings. It is the place where many of the Candyhill High students attend after they graduate.

*It has a hidden race course which directs across numerous buildings. It can only be unlocked when the riders win the normal 17 courses."
Chapter 12 (Kids Version),Candystone Shortcake,candystone-shortcake,published,On A Small Island,"Residents: Stevie Shortcake & Princess Candyshack

A popular city with shortcake decorating much of the town’s image. It is seen as a multihued of pink with Princess Candyshack as its leader. It separates Candy Village and Le’Drinkaton.

*Also serving as one of the famous races. This place can only be unlocked during the tournament if won by Princess Candyshack or Stevie Shortcake."
Chapter 12 (Kids Version),Giggly Gumdrop’S Home,giggly-gumdrops-home,published,South Candy Village,"Residents: Giggly Gumdrop

Home to Giggly Gumdrop, her parents are never seen. However pictures of them are seen in the background on a desk. If only slightly. It is covered in numerous candies like Giggly herself.

*Only can be unlocked in the tournament when Giggly wins the other 17 courses."
Chapter 12 (Kids Version),Baker Estate,baker-estate,published,North Candy Village,"Residents: Cindy Cutterhill

Home to Cindy Cutterhill. It is a mid-sized estate that has the scent of cookies and other delights. In its rear is a hidden factory.

*The factory portion of this home can be unlocked only if Cindy Cutterhill wins all 17 courses."
Chapter 12 (Kids Version),Candy Rain Tv Station,candy-rain-tv-station,published,Downtown Candy Village,"This news station is home to the famous Candy Rain TV News. It is located in the center of Downtown Candy Village and serves as the tallest tower in Candy Village. From the tip of it, someone could see the lights of Food town."
