source,name,slug,alias,type,status,description,universe,categories,stories,places,affiliates,abilities
CreationMyths,Yonrohs,yonrohs,,Mythology,published,"Rank: Father of the Gods

Yonrohs was unlike his counterparts Cronus & Odin as he didn't want to be king but the opposite; he wanted to be a child that could play forever in his grandfather's palace as he called it. Yonrohs was tall, muscular, and intelligent as most deities were, very strong, and very adventurous. While with his siblings he served as their servant and assistant. Although he was the most powerful in strength he was the weakest in power. Like many Elitsyian Gods he had mystical powers that could grant him anything he wished but youth wasn't one of them. As for those times immortality wasn't possible and anything that would die would just return moments later as them wasn't yet an afterlife nor any beginnings. So in the meantime while the idea wonders the universe, Yonrohs played in a garden known simply as Gardenia a place where him and his siblings sat and balanced the universe in the day and where he played a night. Gardenia was beautiful and every galaxy, moon, sun, and planet could be seen just by standing on its lowest point. But like most children, Yonrohs grew bored of his siblings not playing with him so he created a playmate out of stardust or as called by the Elitsyians as a feather from a Domaedian.",Main Universe,Mythology; Gods and Goddesses,,,Elitsyian Gods,Creation
CreationMyths,Elshack,elshack,,Mythology,published,"Rank: Creator of Light, Chaos, Creation, Balance, and Cosmic Energy

When there was complete darkness and only Anka, Elshack was the first light to appear. Spreading across the vast void that Anka occupied. Elshack would then give birth to the Misokune Egg which birthed Chaos, Creation, Balance, and Cosmic Energy. While these forces grew, Elshack watched over them, providing guidance albeit without their knowledge. Elshack taught them the first words, the meaning and purpose of thought, how to utilize their powers, and how to turn the light that it created to their advantage. Only Balance or The Neither had the ability to see Elshack and to hear and know of Anka’s presence.",Main Universe,Mythology; Gods and Goddesses,,,Elitsyian Gods,Creation
CreationMyths,Anka,anka,,Mythology,published,"Rank: Creator of Dark Matter and the First One

Anka is a powerful being that was born from nothing and appear as a large dark void that makes up the dark matter throughout all things. When it started to ponder its own existence and why it was alone in silence and in darkness, Elshack was born as the first spark of light. Although Anka is all knowing and powerful, only Elshack and The Neither knows of its existence. It can appear in all places at once and from its body grew Eden the first Realm.",Main Universe,Mythology; Gods and Goddesses,,,,Creation
CreationMyths,Belckus,belckus,,Mythology,published,"Rank: King of Hell

Serving as the youngest of the Ho’zares, Belckus was intelligent, a giant, powerful, and the strongest of his brethren. One day as Creation was creating the Primordial Ones and thus the birth of Heaven, Belckus grew highly upset that his parent was creating what appeared as more loving and beautiful creatures. One day to showcase his powers, Belckus created the Belki from his sperm and granted them the power to rival the Primordial Ones. Believing destroying the Primordial Ones would get the love and respect he demanded. Belckus went to war against the Primordial Ones and Heaven. Angered by these actions, Creation banished Belckus and the Belki to the lowest part of all things alongside Chaos and the Leviathans. It is believed that at the end of all time, Belckus would rise alongside Chaos and devour all creation.",Main Universe,Mythology; Gods and Goddesses,,,Underworld Gods,
CreationMyths,The Ultimate Power,the-ultimate-power,,Mythology,published,"Rank: Elitsyian version of GOD
Note: GOD, Creation, Allah, etc

The Ultimate Power in Elitsyian Mythology is a powerful being that is nor angel, demon, god, goddesses, or a living and or dead entity. Born at the same time as Chaos and Balance. The Ultimate Power desired creation amid the darkness surrounding them. So with a plan, they created Heaven at the 12th pillar in Eden. Filled with beautiful large towers, cities of angels, and its Ho’zares sat at the foot of their thrown. Throughout the earliest times, The Ultimate Power had several conflicts with its “family” members including Chaos in a fight that was the first betrayal, first war, and first banishment which resulted in Chaos and their creations the Leviathans being banished into eternal darkness. Later, Belckus their son an Ho’zare betrayed them and was too banished, followed by Lucifer, and later others including humans and gods.",Main Universe,Mythology; Gods and Goddesses,,,Elitsyian Gods,
CreationMyths,Misokune Egg,misokune-egg,,Mythology,published,"Rank: Creator of the New Earth

Powerful structure resembling an egg, many believed that the Misokune Egg was an object sent to a new time to birth all things again after the previous reality came to an end. Many others believe that the egg was the product of Elshack to birth Balance, Creation, and Chaos for life to be born. Once Balance, Creation, Chaos, and cosmic energy was  born from the egg, the egg disappeared with its shell pieces serving as the tallest mountains of Eden.",Main Universe,Mythology; Gods and Goddesses,,,Elitsyian Gods,
CreationMyths,Chaos,chaos,,Mythology,published,"Rank: Elitsyian embodiment of all evil

Originally a peaceful and mild-mannered being, Chaos grew to dislike The Ultimate Power’s constant noise and creations that interrupted its silence and peace. Pleading for peace and silence, Chaos was unheard, feeling as if they had no other option, Chaos created the Leviathans to destroy creation. After an all out war, Chaos and the Leviathans lost the battle against Creation, the Ho’zares, and the Akuma and was banished to eternal sleep at the lowest peak of Eden.",Main Universe,Mythology; Gods and Goddesses,,,Elitsyian Gods,
CreationMyths,The Neither,the-neither,Balance,Mythology,published,"Rank: Elitsyian embodiment of all balance

The only one of the Creation Trio that were always mentioned as a woman. The Neither was a powerful figure and at times considered more powerful than the other Creation Trio Chaos and The Ultimate Power. Often staying away from the rest of existence, instead taking a more indirect approach. The Neither carries a large staff with a libra scale. She serves as the mother to Shecknurd, the god of time, Olerta, the goddess of beginnings and gates, the guardians of Fate, Angels of Destiny, Granjun, and many other important figures throughout history. The Neither is the only one of the Creation Trio that can speak and see Elshack and to be able to hear Anka. She also is the only being outside of Anka that knows of the times before and after their current existence. It is believed that when all things come to an end, even when Elshack is no more, that The Neither will become the new Anka and birth the void for a new existence.",Main Universe,Mythology; Gods and Goddesses,,,Elitsyian Gods,
DreamNightmareGods,Ananaka,ananaka,,Mythology,published,"Rank: Creator of Dreomede

Ananaka was creator of Dreomede and worshiped around the world as deity over the other gods that ruled there. With his many faces he was also a great wizard and gave the world their first taste at practical magic. His mother was Bewithia. Pictured fully clothed in all white and orange Ananaka stood high on his giant white elephant. Later after created the lands of dreams, Ananaka gave food to the sleeping and masked the real world so that those entering could sleep easier without waking. Every where he turned, Ananaka spit out food which humans later took back to their waking world, of which came golden fish, rice, pudding, cakes, and fruit cake. Of these the fruit cake and rice was his sacred meals, if those who wanted good dreams wanted to sleep easily would leave these special meals at their bedsides. Ananaka would then collect them as the person slept.",Main Universe,Mythology; Gods and Goddesses,,,Dream Gods,
DreamNightmareGods,Myonar,myonar,,Mythology,published,"Rank: Creator of Illusions & lands of Dreomede

Myonar created his children, the gods of Dreomede out of childhood imaginations and gave them immortality after seeing how the shared idea of special guardians of dreams with mortal children. In honor of children everywhere, Myonar developed cities of ice, rivers of peach water, mountains of rainbow rocks, towers of glass, and playful gardens feel with magical entities. After Myonar's father, Ananaka created Dreomede, he would build its wonderful environments along with create the gods and goddesses that controls it. Myonar played an important role in Elitsyians Myths and gave many mortals gifts if they honored him while awake. He honored them with sweet dreams and they honored him with food and jewelry which were left by rivers or windows as both were open gateways to Dreomede. Myonar created the Imaginarium and its connecting bridges to Dreomede and Nigerikarte.",Main Universe,Mythology; Gods and Goddesses,,,Dream Gods,
DreamNightmareGods,Onarosh,onarosh,,Mythology,published,"Rank: God of Sleep

Onarosh at night covers the world with a blanket of night and shining stars. With his magical viewing globe, he can spy on the dreams of others and control them. He created the Sand People servants to his sister, Vena to help her guide innocent mortals through Dreomede. His appearance was that of a wiseman covered in magical chains which represented how a dream sometimes bounds us even when we're awake. He was God of Sleep and during the time when people are awake he plays with their minds by giving them what the Elitsyians called Day Spells or the common Daydreams.",Main Universe,Mythology; Gods and Goddesses,,,Dream Gods,
DreamNightmareGods,Ogede,ogede,,Mythology,published,"Rank: Spirit of Dreams & River of Dreams

Ogede was the river that flowed gently into Dreomede and separated it from life and death and on its boundary was Nigerikarte “land of nightmares”. Ogede was represented by the spirit that disguised himself as a beautiful swan with magical powers that could heal those that are harm in their sleep. Ogede was product of Ananaka.",Main Universe,Mythology; Gods and Goddesses,,,Dream Gods,
DreamNightmareGods,Croptes,croptes,,Mythology,published,"Rank: Spirits of Sleep & Guides throughout Dreams

Croptes or the Sand People were mystical beings that graced human dreams. Their name meant “dream people” and from them came knowledge of the dreamlands which helped people get around this mysterious world. They were servants to Vena and children of Onarosh. Individually they protected a human or animal and guided them through Dreomede. In some parts of the world, they are represented as spirits in the forms of dolls that whatever happened to the doll happened to the person the doll was modeled after.",Main Universe,Mythology; Gods and Goddesses,,,Dream Gods,
DreamNightmareGods,Tonik,tonik,,Mythology,published,"Rank: King of Nightmares & God of Illusions

Tonik was King of Nigerikarte and guided demons or demonic spirits into the waking world to taunt people. These spirits were called human nerves and were responsible for headaches and migraines. Tonik was God of Nightmares and often played cruel jokes on his twin brother, Onarosh. His realm was considered a prison to those who didn't know of its true nature and that it was mere illusions constructed of mortal thoughts. Tonik was also considered God of Illusions and to the people of the Islands of Lostasia he was a destructive deity that hated all things and cast onto them haunting images. Until the day they would find out that his tricks couldn't hurt them, the people of the Islands of Lostasia feared the deity and sacrificed their children for their safety.",Main Universe,Mythology; Gods and Goddesses,,,Dream Gods,
DreamNightmareGods,Deptoose,deptoose,,Mythology,published,"Rank: God of Sleeping Thoughts

Deptoose was God of Sleeping Thoughts, like his siblings he managed to interact with mankind by giving them pleasant but sometimes dangerous thoughts. This was to help make life easier although sometimes made things in the real world harder. Images formed in the dreaming state were his magic at work.",Main Universe,Mythology; Gods and Goddesses,,,Dream Gods,
DreamNightmareGods,Mok’itu,mokitu,,Mythology,published,"Rank: Guides souls into Eternity

Mok'itu guides the souls of the underworld into Eternity, together they bring the end of suffering for those who are dying and or are in battle. During the Mostibik they were one of the several deities that came together to protect mankind and help restore balance to life.",Main Universe,Mythology; Gods and Goddesses,,,Dream Gods,
DreamNightmareGods,Arcalites,arcalites,,Mythology,published,"Rank: Female Warriors

Arcalites were several beautiful female warriors that seduced dying men to ease their pain, afterwards they guided their souls to Misearth a place where dead warriors who died from a great battle. They were similar to the Norse Valkyries. They had white shining armors that lit up the skies and flew on magical white and golden armored horses. Their swords could kill demons and their magical pendants could open doorways or gateways into several magical realms. Of all, Arilla was the most famous more so because she once was a Lazaron.",Main Universe,Mythology; Gods and Goddesses,,,Dream Gods,
DreamNightmareGods,Arilla,arilla,,Mythology,published,,Main Universe,Mythology; Gods and Goddesses,,,,
DreamNightmareGods,Jacko,jacko,,Mythology,published,"Rank: Shadow Creature

The Jacko is mischievous creature that taunts children at night and steals their souls if their presence is revealed.",Main Universe,Mythology; Gods and Goddesses,,,Shadow Realm,
DreamNightmareGods,Hellsmiths,hellsmiths,,Mythology,published,"Rank: Shadow Creatures

Creatures that live under rocks and will take anyone nearby to their realm if caught without blessing from a pure hearted individual. They are usually only found in non-religious regions.",Main Universe,Mythology; Gods and Goddesses,,,Shadow Realm,
DreamNightmareGods,Shadows,shadows,,Mythology,published,"Rank: Shadow Creatures

Shadows are similar in appearance to those they imitate although they believe that their existence was before those that they imitate. The true origin of the shadows has long been debated by people living in the Shadow Realm.",Main Universe,Mythology; Gods and Goddesses,,,Shadow Realm,
DreamNightmareGods,Shadow Demon,shadow-demon,Boogeyman,Mythology,published,"Rank: Shadow Creature

Often called the Boogeyman, this creature appears as dark smoke that has a sinister voice and will steal the voices and life force of those that aren’t able to resists its angry urges.",Main Universe,Mythology; Gods and Goddesses,,,Shadow Realm,
DreamNightmareGods,Shadow Dolls,shadow-dolls,,Mythology,published,"Rank: Shadow Residents

Dolls that appear to be almost human in appearance and take on similar personality traits. These beings are varied in their personalities and are often not as evil as other shadow creatures in the Shadow Realm. They are almost hollow in appearance and has small sparks of life that appears almost entirely to keep them alive indefinitely unless they are broken. The Mirror King created replicas called the Porcelain People for his Mirror Realm.",Main Universe,Mythology; Gods and Goddesses,,,Shadow Realm,
DreamNightmareGods,Derrick the Christmas Killer,derrick-the-christmas-killer,,Mythology,published,"Rank: Shadow Residents

Derrick was a serial killer that killed nearly 100 people in his life. When he died, he was supposed to go to Hell, instead his soul entered the Shadow Realm as directed by Tonik. When the Akuma opened doors between the various realms and universes, Tonik sent Derrick to another universe to continue his deadly killing spree. He is the murder for the Christmas series of stories.",Main Universe,Mythology; Gods and Goddesses,,,Shadow Realm; Universe 60,
DreamNightmareGods,Micha Ryland,micha-ryland,,Mythology,published,"Rank: Shadow Residents
Note: the Dream Killer

A serial killer that haunts peoples dreams after learning how to enter Dreomede and Nigerakarte. Although, her presence is known by Tonik, the residents of Dreomede including Onarosh goes unknown.",Main Universe,Mythology; Gods and Goddesses,,,Shadow Realm; Universe 61,
